Frame	Time	R_HLE X	R_HLE Y	R_HLE Z	R_HEAD X	R_HEAD Y	R_HEAD Z	RIAS X	RIAS Y	RIAS Z	RIPS X	RIPS Y	RIPS Z	LIPS X	LIPS Y	LIPS Z	L_FM2 X	L_FM2 Y	L_FM2 Z	SJN X	SJN Y	SJN Z	L_FLE X	L_FLE Y	L_FLE Z	R_FLE X	R_FLE Y	R_FLE Z	L_FCC X	L_FCC Y	L_FCC Z	L_HEAD X	L_HEAD Y	L_HEAD Z	L_FAL X	L_FAL Y	L_FAL Z	R_HM2 X	R_HM2 Y	R_HM2 Z	SGL X	SGL Y	SGL Z	R_FCC X	R_FCC Y	R_FCC Z	R_FAL X	R_FAL Y	R_FAL Z	LIAS X	LIAS Y	LIAS Z	L_HM2 X	L_HM2 Y	L_HM2 Z	L_HLE X	L_HLE Y	L_HLE Z	SXS X	SXS Y	SXS Z	R_FM2 X	R_FM2 Y	R_FM2 Z	
1022	2.55250	1966.233	373.814	1163.327	2121.390	312.470	1538.589	2152.939	406.048	919.452	2288.894	379.265	1000.085	2304.538	205.929	996.917	1821.026	202.673	144.272	2116.292	268.306	1263.828	2066.446	136.342	488.575	2395.452	388.171	462.630	1989.526	240.623	88.491	2276.766	205.182	1531.572	1932.400	188.633	118.365	2045.489	158.386	1294.141	2108.934	144.516	1542.569	2766.924	335.781	334.961	2753.959	378.959	277.692	2148.167	161.494	941.663	1948.513	202.195	1071.176	2029.036	13.084	1289.435	2082.642	261.963	1126.806	2737.397	316.020	131.214
1023	2.55500	1955.143	373.537	1163.751	2109.780	312.235	1538.585	2141.552	407.271	919.711	2277.604	379.314	1000.214	2292.972	206.200	996.438	1803.009	203.139	147.893	2104.737	268.501	1263.553	2055.974	136.675	486.928	2384.206	389.282	463.115	1970.347	242.281	89.014	2265.446	205.316	1531.527	1914.028	189.897	120.042	2034.682	158.848	1294.267	2097.736	144.245	1542.326	2758.280	335.875	341.948	2746.239	380.004	285.041	2136.335	162.582	940.845	1935.974	202.766	1071.382	2017.370	13.708	1290.547	2071.073	262.123	1126.753	2731.470	319.734	137.434
1024	2.55750	1943.313	373.126	1163.984	2098.260	312.083	1538.363	2130.263	408.258	920.128	2266.271	379.512	1000.233	2281.372	206.365	995.815	1785.730	203.284	151.409	2093.022	268.609	1263.583	2045.492	136.838	485.270	2373.242	390.505	463.499	1951.541	244.073	89.816	2253.928	205.277	1531.408	1896.496	191.070	121.498	2023.933	159.353	1294.475	2086.215	143.842	1541.950	2749.137	335.858	348.897	2738.428	381.036	292.463	2124.417	163.713	939.973	1924.017	203.203	1071.803	2005.856	14.283	1291.162	2059.600	262.367	1126.566	2725.749	323.418	143.749
1025	2.56000	1931.707	372.766	1164.207	2086.698	311.837	1538.231	2118.821	409.086	920.125	2255.073	379.777	1000.215	2269.706	206.538	995.061	1768.962	203.438	154.665	2081.131	268.719	1263.506	2034.930	137.063	483.746	2361.925	391.731	463.967	1933.568	246.317	90.624	2242.559	205.318	1531.266	1879.516	192.442	123.032	2013.046	160.013	1294.647	2075.004	143.610	1541.484	2739.976	335.751	355.870	2730.588	381.985	299.936	2112.649	164.750	939.005	1911.651	203.536	1072.155	1994.314	14.870	1291.817	2048.058	262.641	1126.297	2719.599	327.404	150.104
1026	2.56250	1919.944	372.472	1164.232	2075.294	311.724	1537.994	2107.409	409.885	920.065	2243.785	379.838	1000.070	2258.068	206.692	994.188	1752.718	203.521	157.580	2069.647	268.865	1263.343	2024.519	137.426	482.127	2350.554	392.934	464.263	1916.230	248.641	91.560	2231.170	205.364	1531.056	1863.198	193.816	124.495	2001.717	160.620	1294.637	2063.630	143.293	1540.986	2730.424	335.799	362.744	2722.479	382.994	307.453	2100.725	165.757	938.106	1899.758	203.886	1072.640	1982.607	15.460	1292.139	2036.734	262.727	1126.155	2713.399	330.722	156.756
1027	2.56500	1908.751	372.481	1164.162	2063.674	311.482	1537.657	2095.755	410.575	920.133	2232.557	380.135	1000.034	2246.439	206.835	993.215	1737.203	203.521	160.187	2057.942	268.973	1263.149	2014.054	137.911	480.376	2339.139	394.203	464.567	1899.497	250.964	92.551	2219.630	205.309	1530.722	1847.199	195.465	125.674	1990.857	161.526	1294.688	2052.298	143.043	1540.483	2720.617	335.608	369.658	2714.005	383.851	315.022	2088.940	166.658	937.000	1887.385	204.345	1072.897	1971.066	16.040	1292.751	2025.096	263.028	1125.785	2707.292	334.033	163.374
1028	2.56750	1897.372	372.541	1163.827	2051.881	311.141	1537.420	2084.332	411.378	920.119	2221.458	380.418	1000.021	2234.776	206.941	992.193	1722.233	203.543	162.415	2046.641	269.192	1262.931	2003.432	138.318	478.688	2327.587	395.322	464.681	1883.359	253.363	93.482	2208.269	205.367	1530.384	1832.242	196.908	126.732	1979.440	162.245	1294.522	2040.840	142.886	1539.836	2710.478	335.627	376.498	2705.569	384.718	322.494	2077.264	167.512	935.902	1875.415	204.670	1073.263	1959.393	16.585	1293.107	2013.876	263.361	1125.325	2700.277	338.103	170.080
1029	2.57000	1885.881	372.682	1163.622	2040.271	310.884	1537.027	2072.877	412.124	920.086	2210.239	380.526	999.853	2223.118	207.059	991.096	1707.829	203.591	164.056	2034.968	269.239	1262.483	1992.939	139.306	477.028	2315.869	396.400	464.710	1867.910	255.474	94.356	2196.833	205.316	1530.008	1817.684	198.226	127.506	1968.607	163.547	1294.307	2029.480	142.709	1539.150	2700.112	335.590	383.263	2696.586	385.479	330.106	2065.574	168.312	934.594	1863.014	205.198	1073.399	1947.348	17.053	1293.212	2002.518	263.636	1124.782	2693.871	340.983	176.929
1030	2.57250	1874.715	373.022	1163.179	2028.653	310.665	1536.492	2061.253	412.762	919.812	2198.948	380.714	999.540	2211.514	207.211	989.999	1693.937	203.776	165.552	2023.553	269.405	1262.146	1982.246	140.193	475.366	2303.560	397.395	464.586	1853.291	257.716	95.011	2185.312	205.254	1529.513	1803.757	199.514	128.172	1957.000	164.483	1294.016	2018.202	142.565	1538.357	2689.410	335.698	390.022	2687.453	386.303	337.467	2054.125	169.083	933.385	1850.808	205.772	1073.529	1935.507	17.453	1293.277	1991.232	263.835	1124.267	2686.597	344.601	183.691
1031	2.57500	1863.474	373.541	1162.557	2017.125	310.519	1536.042	2049.674	413.346	919.569	2187.324	380.736	998.535	2199.948	207.315	988.797	1680.465	204.340	166.235	2012.058	269.534	1261.631	1971.434	141.141	473.865	2291.218	398.316	464.112	1839.156	259.432	95.637	2173.897	205.274	1529.014	1790.384	200.718	128.738	1945.871	165.824	1293.892	2006.743	142.358	1537.791	2678.513	335.759	396.633	2677.680	387.049	344.880	2042.561	169.714	932.160	1838.558	206.267	1073.668	1923.509	17.957	1293.229	1979.958	264.172	1123.552	2679.308	347.695	190.578
