Frame	Time	R_HLE X	R_HLE Y	R_HLE Z	R_HEAD X	R_HEAD Y	R_HEAD Z	RIAS X	RIAS Y	RIAS Z	RIPS X	RIPS Y	RIPS Z	LIPS X	LIPS Y	LIPS Z	L_FM2 X	L_FM2 Y	L_FM2 Z	SJN X	SJN Y	SJN Z	L_FLE X	L_FLE Y	L_FLE Z	R_FLE X	R_FLE Y	R_FLE Z	L_FCC X	L_FCC Y	L_FCC Z	L_HEAD X	L_HEAD Y	L_HEAD Z	L_FAL X	L_FAL Y	L_FAL Z	R_HM2 X	R_HM2 Y	R_HM2 Z	SGL X	SGL Y	SGL Z	R_FCC X	R_FCC Y	R_FCC Z	R_FAL X	R_FAL Y	R_FAL Z	LIAS X	LIAS Y	LIAS Z	L_HM2 X	L_HM2 Y	L_HM2 Z	L_HLE X	L_HLE Y	L_HLE Z	SXS X	SXS Y	SXS Z	R_FM2 X	R_FM2 Y	R_FM2 Z	
916	2.28750	2288.901	622.105	1145.146	2219.076	373.992	1548.792	2175.859	404.950	935.608	2315.049	377.435	1013.313	2328.115	202.526	1004.643	1849.942	209.722	142.632	2118.445	269.392	1279.329	2086.316	140.718	494.838	2395.420	399.106	464.734	2019.381	252.238	98.125	2246.688	187.060	1548.139	1962.746	198.305	123.505	2089.819	472.420	1069.574	2098.821	269.794	1608.219	2773.654	348.975	354.816	2764.167	395.560	304.465	2171.883	159.745	950.282	2511.133	39.492	954.077	2500.379	29.153	1258.566	2091.288	258.602	1138.130	2751.865	349.641	152.245
917	2.29000	2278.039	622.328	1146.738	2207.858	373.564	1549.163	2164.936	405.681	936.482	2304.208	377.673	1013.926	2316.804	202.890	1004.578	1833.577	210.107	145.871	2107.441	269.263	1279.899	2077.216	141.136	493.329	2382.620	399.822	464.697	2001.985	253.583	98.121	2235.330	186.508	1548.674	1946.196	199.080	124.664	2079.619	473.419	1067.907	2087.495	269.209	1608.771	2762.802	348.800	361.883	2754.501	396.159	312.235	2160.571	160.649	950.027	2499.262	39.861	954.200	2489.505	29.758	1258.524	2079.630	258.553	1138.686	2745.297	352.810	159.038
918	2.29250	2267.349	622.575	1148.138	2196.443	373.074	1549.218	2154.035	406.416	937.113	2293.184	377.936	1014.461	2305.464	203.189	1004.408	1817.709	210.553	149.027	2095.756	268.668	1280.124	2068.294	141.485	491.891	2369.663	400.563	464.621	1985.071	254.988	98.364	2223.939	186.003	1549.082	1930.262	200.007	125.773	2069.568	474.441	1065.858	2075.997	268.666	1609.099	2751.672	348.678	368.935	2744.576	396.754	319.879	2148.967	161.532	949.745	2487.549	40.247	954.303	2478.548	30.287	1258.348	2068.229	258.380	1139.280	2738.252	356.054	165.894
919	2.29500	2256.563	622.690	1149.576	2185.049	372.595	1549.421	2142.992	407.029	937.541	2282.325	378.183	1014.887	2294.188	203.469	1004.123	1802.396	210.883	151.975	2084.845	268.708	1280.221	2059.330	141.854	490.192	2356.521	401.251	464.565	1968.752	256.497	98.585	2212.691	185.548	1549.384	1914.645	201.052	127.005	2059.296	475.301	1063.894	2064.601	268.209	1609.135	2740.084	348.526	376.009	2734.334	397.342	327.452	2137.648	162.338	949.558	2475.690	40.496	953.856	2467.454	30.717	1258.000	2056.513	258.473	1139.437	2730.876	359.208	172.723
920	2.29750	2245.745	622.879	1150.703	2173.500	372.023	1549.594	2132.208	407.845	938.037	2271.283	378.346	1015.174	2282.877	203.725	1003.744	1787.491	211.317	154.688	2073.646	268.490	1280.379	2050.471	142.281	488.624	2343.166	401.935	464.327	1952.840	258.013	99.048	2201.239	185.028	1549.671	1899.530	202.062	128.129	2049.452	476.517	1061.511	2053.172	267.711	1609.080	2728.436	348.485	382.938	2723.755	397.808	334.906	2126.335	163.187	949.343	2463.741	40.743	953.291	2456.407	31.183	1257.535	2045.264	258.622	1139.532	2723.425	361.832	179.747
921	2.30000	2235.096	623.162	1151.712	2161.968	371.483	1549.636	2121.250	408.552	938.359	2260.264	378.598	1015.381	2271.653	203.999	1003.304	1773.041	211.748	157.164	2062.366	268.320	1280.398	2041.540	142.818	487.036	2329.909	402.714	463.854	1937.493	259.460	99.483	2189.886	184.571	1549.757	1884.739	203.255	129.244	2039.225	477.545	1059.090	2041.748	267.199	1609.041	2716.523	348.419	389.747	2712.613	398.167	342.293	2114.876	163.913	948.976	2451.667	40.899	952.876	2445.170	31.521	1257.001	2033.905	258.626	1139.683	2715.409	364.586	186.502
922	2.30250	2224.353	623.114	1152.877	2150.696	371.086	1549.555	2110.424	409.650	938.558	2249.396	378.680	1015.450	2260.376	204.226	1002.766	1758.978	212.248	159.428	2050.991	268.065	1280.478	2032.693	143.622	485.341	2316.212	403.423	463.417	1922.585	260.835	99.986	2178.483	184.069	1549.814	1870.343	204.219	130.079	2029.492	478.774	1056.470	2030.257	266.654	1609.038	2704.204	348.411	396.441	2701.539	398.741	349.360	2103.752	164.614	948.701	2439.551	40.937	952.214	2433.921	31.821	1256.208	2023.152	258.804	1139.946	2707.314	366.937	193.279
923	2.30500	2213.488	623.297	1153.649	2139.168	370.559	1549.398	2099.248	410.291	938.720	2238.319	378.842	1015.462	2249.088	204.402	1002.212	1745.428	212.944	161.359	2039.644	267.985	1280.306	2023.600	144.344	483.783	2302.735	404.188	462.721	1908.176	262.078	100.356	2167.099	183.586	1549.840	1856.647	205.148	130.986	2019.245	479.770	1053.800	2018.704	266.049	1608.938	2691.843	348.368	402.986	2690.208	399.157	356.266	2092.562	165.279	948.277	2427.413	40.965	951.268	2422.822	32.111	1255.232	2011.682	258.962	1139.675	2698.391	369.590	200.166
924	2.30750	2202.772	623.363	1154.418	2127.826	370.110	1549.238	2088.288	410.437	938.827	2227.170	378.991	1015.371	2237.850	204.633	1001.564	1732.182	213.636	163.092	2028.255	267.614	1280.181	2014.373	145.073	482.287	2288.713	404.934	462.123	1894.356	263.148	100.617	2155.684	183.119	1549.605	1843.305	206.049	131.827	2009.695	481.110	1050.846	2007.179	265.519	1608.610	2679.065	348.346	409.443	2678.240	399.471	363.114	2081.280	165.867	947.719	2415.099	40.909	950.232	2411.425	32.411	1254.280	2000.460	259.140	1139.469	2689.723	371.345	207.227
925	2.31000	2192.153	623.494	1155.145	2116.299	369.614	1549.083	2077.356	411.459	938.947	2216.034	379.094	1015.182	2227.554	205.421	1001.016	1719.339	214.659	164.408	2016.954	267.598	1279.908	2004.958	145.859	480.750	2275.128	405.705	461.233	1881.030	264.218	100.809	2144.240	182.605	1549.512	1830.221	206.878	132.374	1999.624	482.294	1047.919	1995.723	265.036	1608.250	2666.084	348.263	415.636	2666.249	399.888	369.751	2070.202	166.454	947.300	2402.649	40.728	949.021	2399.992	32.567	1253.125	1989.182	259.239	1139.265	2680.385	373.533	213.829
926	2.31250	2181.238	623.373	1155.707	2104.684	369.146	1548.868	2066.160	412.000	938.682	2204.732	379.205	1014.901	2216.417	205.674	1000.272	1706.931	215.589	165.642	2005.587	267.345	1279.591	1995.401	146.607	479.267	2261.261	406.533	460.265	1868.159	264.836	100.786	2132.720	182.176	1549.257	1817.597	207.797	132.792	1989.935	483.624	1044.674	1984.261	264.640	1607.840	2653.479	347.754	421.932	2654.028	400.105	376.201	2059.137	166.976	946.766	2390.164	40.509	947.697	2388.549	32.707	1251.851	1978.013	259.371	1138.935	2670.973	375.395	220.373
927	2.31500	2170.493	623.393	1156.177	2092.985	368.576	1548.677	2054.997	412.635	938.467	2193.520	379.366	1014.537	2205.318	205.935	999.515	1694.506	217.018	166.407	1994.241	267.275	1279.194	1985.474	147.556	477.843	2247.224	407.352	459.291	1855.836	265.486	100.705	2121.247	181.668	1548.943	1805.545	208.288	133.215	1980.387	485.013	1041.435	1972.826	264.119	1607.334	2639.813	347.706	427.747	2641.303	400.318	382.575	2048.054	167.432	946.233	2377.683	40.216	946.106	2377.113	32.903	1250.516	1966.828	259.468	1138.504	2661.423	376.699	227.038
928	2.31750	2160.045	623.521	1156.542	2081.591	368.140	1548.187	2043.926	413.070	938.196	2182.257	379.444	1014.097	2194.239	206.170	998.707	1682.776	218.390	166.874	1982.948	267.128	1278.741	1975.258	148.400	476.507	2233.565	408.436	458.073	1843.837	265.862	100.449	2109.672	181.237	1548.569	1793.395	209.170	133.471	1970.594	486.277	1038.205	1961.284	263.622	1606.830	2626.240	347.456	433.511	2628.617	400.605	388.658	2037.186	167.888	945.615	2365.005	39.854	944.657	2365.669	32.956	1248.951	1955.578	259.677	1137.922	2650.946	378.589	233.407
